Outlier Detection Report
================================================================================
|    | Column                       |   Q1 |   Q3 |   IQR |   Lower Bound |   Upper Bound |   Outliers Count | Outliers Percentage   |   Skewness |   Kurtosis |
|---:|:-----------------------------|-----:|-----:|------:|--------------:|--------------:|-----------------:|:----------------------|-----------:|-----------:|
|  0 | Age                          |   30 |   43 |    13 |          10.5 |          62.5 |                0 | 0.00%                 |  0.384145  |  -0.431    |
|  1 | DistanceFromHome             |    2 |   14 |    12 |         -16   |          32   |                0 | 0.00%                 |  0.962956  |  -0.242017 |
|  2 | EmpEducationLevel            |    2 |    4 |     2 |          -1   |           7   |                0 | 0.00%                 | -0.250974  |  -0.635594 |
|  3 | EmpEnvironmentSatisfaction   |    2 |    4 |     2 |          -1   |           7   |                0 | 0.00%                 | -0.307665  |  -1.20558  |
|  4 | EmpHourlyRate                |   48 |   83 |    35 |          -4.5 |         135.5 |                0 | 0.00%                 | -0.0351649 |  -1.18689  |
|  5 | EmpJobInvolvement            |    2 |    3 |     1 |           0.5 |           4.5 |                0 | 0.00%                 | -0.557846  |   0.36867  |
|  6 | EmpJobLevel                  |    1 |    3 |     2 |          -2   |           6   |                0 | 0.00%                 |  1.02405   |   0.386338 |
|  7 | EmpJobSatisfaction           |    2 |    4 |     2 |          -1   |           7   |                0 | 0.00%                 | -0.324276  |  -1.22315  |
|  8 | NumCompaniesWorked           |    1 |    4 |     3 |          -3.5 |           8.5 |               39 | 3.25%                 |  1.04863   |   0.068863 |
|  9 | EmpLastSalaryHikePercent     |   12 |   18 |     6 |           3   |          27   |                0 | 0.00%                 |  0.808654  |  -0.299741 |
| 10 | EmpRelationshipSatisfaction  |    2 |    4 |     2 |          -1   |           7   |                0 | 0.00%                 | -0.318563  |  -1.16183  |
| 11 | TotalWorkExperienceInYears   |    6 |   15 |     9 |          -7.5 |          28.5 |               51 | 4.25%                 |  1.08686   |   0.805633 |
| 12 | TrainingTimesLastYear        |    2 |    3 |     1 |           0.5 |           4.5 |              188 | 15.67%                |  0.532073  |   0.567531 |
| 13 | EmpWorkLifeBalance           |    2 |    3 |     1 |           0.5 |           4.5 |                0 | 0.00%                 | -0.539231  |   0.396607 |
| 14 | ExperienceYearsAtThisCompany |    3 |   10 |     7 |          -7.5 |          20.5 |               56 | 4.67%                 |  1.78905   |   4.05796  |
| 15 | ExperienceYearsInCurrentRole |    2 |    7 |     5 |          -5.5 |          14.5 |               16 | 1.33%                 |  0.888159  |   0.438029 |
| 16 | YearsSinceLastPromotion      |    0 |    3 |     3 |          -4.5 |           7.5 |               88 | 7.33%                 |  1.97493   |   3.53908  |
| 17 | YearsWithCurrManager         |    2 |    7 |     5 |          -5.5 |          14.5 |               11 | 0.92%                 |  0.813158  |   0.148202 |
| 18 | PerformanceRating            |    3 |    3 |     0 |           3   |           3   |              326 | 27.17%                | -0.0705764 |   0.674477 |

