iter	Passed	Remaining
0	2	1005
1	4	989
2	7	1035
3	10	1006
4	12	984
5	14	960
6	16	950
7	18	922
8	21	912
9	23	898
10	25	886
11	27	875
12	28	863
13	31	861
14	33	852
15	35	851
16	37	852
17	39	844
18	41	836
19	43	828
20	45	822
21	47	815
22	49	816
23	51	813
24	54	820
25	56	815
26	58	812
27	60	809
28	62	804
29	65	804
30	67	800
31	69	795
32	71	790
33	73	786
34	75	782
35	77	779
36	79	781
37	82	782
38	84	777
39	85	773
40	87	769
41	89	765
42	92	766
43	94	766
44	96	762
45	98	759
46	100	756
47	102	752
48	104	750
49	106	748
50	108	745
51	110	741
52	112	738
53	114	734
54	116	730
55	118	727
56	120	724
57	122	724
58	124	721
59	126	719
60	128	715
61	130	712
62	132	709
63	134	706
64	136	703
65	138	701
66	140	698
67	142	695
68	144	692
69	146	690
70	148	687
71	150	686
72	152	685
73	154	682
74	156	679
75	158	676
76	160	673
77	162	671
78	164	669
79	166	666
80	168	663
81	170	660
82	172	658
83	174	655
84	176	653
85	178	651
86	180	649
87	182	647
88	184	645
89	186	642
90	188	640
91	190	637
92	192	634
93	194	632
94	196	630
95	198	627
96	200	625
97	202	622
98	203	619
99	205	617
100	208	615
101	210	614
102	212	612
103	214	609
104	216	607
105	218	604
106	219	602
107	222	600
108	223	597
109	225	595
110	227	592
111	229	590
112	231	587
113	233	585
114	235	583
115	237	582
116	239	580
117	241	578
118	243	575
119	245	573
120	247	570
121	249	568
122	251	567
123	254	565
124	255	563
125	257	560
126	259	558
127	261	555
128	263	553
129	265	552
130	268	550
131	270	548
132	271	545
133	273	543
134	275	541
135	277	538
136	279	537
137	281	534
138	283	532
139	285	530
140	287	528
141	289	525
142	291	523
143	293	521
144	295	519
145	297	517
146	299	515
147	301	513
148	303	510
149	305	508
150	307	506
151	309	505
152	311	503
153	313	500
154	315	498
155	317	496
156	319	494
157	321	492
158	323	490
159	325	488
160	327	486
161	330	485
162	332	483
163	334	481
164	337	480
165	339	478
166	340	475
167	342	473
168	344	471
169	346	469
170	348	467
171	351	465
172	353	463
173	355	461
174	357	459
175	359	456
176	360	454
177	362	452
178	364	450
179	366	448
180	368	446
181	370	444
182	372	441
183	374	439
184	376	437
185	378	435
186	380	433
187	383	432
188	385	430
189	387	427
190	388	425
191	390	423
192	392	421
193	395	419
194	397	417
195	399	415
196	401	413
197	403	411
198	404	408
199	406	406
200	409	405
201	411	403
202	413	400
203	414	398
204	416	396
205	418	394
206	420	392
207	422	390
208	424	388
209	426	386
210	429	385
211	432	383
212	434	381
213	436	379
214	438	377
215	441	376
216	443	373
217	445	372
218	447	370
219	449	367
220	451	365
221	453	363
222	455	361
223	457	359
224	460	358
225	462	355
226	464	353
227	466	351
228	468	349
229	470	348
230	472	345
231	474	343
232	476	341
233	478	339
234	480	337
235	482	335
236	484	333
237	486	331
238	488	329
239	490	327
240	492	324
241	494	322
242	496	320
243	498	318
244	500	316
245	502	314
246	504	312
247	506	310
248	508	308
249	510	306
250	512	304
251	514	302
252	516	300
253	518	297
254	520	295
255	522	293
256	524	291
257	525	289
258	527	287
259	530	285
260	532	283
261	534	281
262	536	279
263	538	277
264	540	275
265	542	273
266	544	271
267	546	269
268	548	267
269	550	265
270	552	263
271	554	261
272	556	259
273	558	257
274	561	255
275	563	253
276	565	251
277	568	249
278	569	247
279	571	245
280	574	243
281	576	241
282	578	239
283	580	237
284	582	235
285	584	232
286	586	230
287	588	228
288	590	226
289	592	224
290	594	222
291	596	220
292	598	218
293	600	216
294	602	214
295	604	212
296	606	210
297	608	208
298	610	206
299	612	204
300	614	202
301	616	200
302	618	197
303	620	195
304	622	193
305	624	191
306	626	189
307	628	187
308	629	185
309	631	183
310	633	181
311	635	179
312	639	177
313	641	175
314	643	173
315	645	171
316	647	169
317	649	167
318	650	165
319	652	163
320	654	161
321	657	159
322	659	157
323	661	155
324	663	153
325	665	151
326	667	149
327	669	146
328	671	144
329	674	142
330	676	140
331	678	138
332	680	136
333	683	134
334	684	132
335	687	130
336	689	128
337	692	126
338	694	124
339	696	122
340	698	120
341	700	118
342	703	116
343	705	114
344	707	112
345	709	110
346	711	108
347	713	106
348	716	104
349	718	102
350	720	100
351	722	98
352	724	96
353	726	94
354	728	92
355	731	90
356	733	88
357	735	86
358	737	84
359	739	82
360	741	80
361	743	78
362	745	76
363	748	73
364	750	71
365	752	69
366	754	67
367	756	65
368	758	63
369	761	61
370	763	59
371	765	57
372	767	55
373	770	53
374	772	51
375	774	49
376	776	47
377	779	45
378	781	43
379	783	41
380	786	39
381	788	37
382	791	35
383	793	33
384	795	30
385	797	28
386	799	26
387	801	24
388	803	22
389	805	20
390	807	18
391	809	16
392	811	14
393	813	12
394	815	10
395	817	8
396	819	6
397	821	4
398	823	2
399	825	0
