iter	Passed	Remaining
0	2	961
1	4	957
2	6	924
3	8	880
4	10	860
5	13	862
6	15	867
7	17	863
8	19	856
9	22	859
10	24	849
11	26	852
12	28	859
13	31	859
14	33	851
15	35	845
16	37	842
17	39	835
18	41	829
19	43	824
20	45	829
21	48	828
22	50	823
23	52	819
24	54	814
25	56	809
26	58	812
27	61	814
28	63	811
29	65	807
30	67	802
31	69	798
32	71	793
33	73	791
34	76	794
35	78	791
36	80	788
37	82	785
38	84	782
39	86	780
40	88	778
41	91	778
42	98	819
43	101	817
44	103	814
45	105	814
46	108	812
47	110	808
48	112	805
49	114	801
50	116	798
51	118	795
52	121	794
53	123	790
54	125	786
55	127	782
56	129	780
57	131	776
58	133	773
59	136	772
60	138	769
61	140	765
62	142	762
63	144	758
64	146	755
65	148	752
66	151	751
67	153	750
68	155	747
69	157	744
70	160	741
71	162	739
72	164	736
73	167	736
74	169	733
75	171	729
76	173	726
77	175	723
78	177	719
79	179	717
80	181	715
81	183	713
82	186	711
83	188	709
84	190	706
85	192	703
86	194	700
87	196	698
88	199	696
89	201	693
90	203	691
91	205	688
92	208	686
93	210	684
94	212	682
95	214	679
96	216	677
97	219	674
98	221	672
99	223	669
100	225	667
101	227	665
102	229	662
103	232	660
104	234	657
105	236	654
106	238	652
107	240	650
108	242	648
109	245	646
110	247	643
111	249	641
112	251	638
113	253	635
114	255	634
115	258	632
116	260	629
117	262	627
118	264	624
119	266	621
120	268	619
121	270	617
122	273	615
123	275	612
124	277	610
125	279	607
126	281	604
127	283	602
128	285	600
129	288	598
130	290	595
131	292	594
132	294	591
133	296	588
134	298	586
135	300	583
136	302	581
137	304	578
138	306	576
139	308	573
140	310	570
141	312	568
142	314	565
143	317	564
144	319	561
145	321	558
146	323	556
147	325	553
148	326	550
149	328	548
150	330	545
151	332	543
152	335	540
153	336	538
154	338	535
155	340	533
156	342	530
157	345	528
158	347	526
159	349	523
160	351	521
161	353	519
162	355	517
163	357	514
164	359	512
165	362	510
166	364	508
167	365	505
168	367	502
169	369	500
170	371	497
171	374	496
172	377	495
173	379	493
174	381	490
175	383	488
176	385	485
177	387	483
178	389	480
179	391	478
180	393	476
181	395	474
182	397	471
183	399	469
184	402	467
185	403	464
186	405	462
187	407	460
188	409	457
189	412	455
190	413	452
191	415	450
192	417	448
193	419	445
194	422	444
195	424	441
196	426	439
197	428	436
198	430	434
199	431	431
200	433	429
201	435	427
202	438	425
203	439	422
204	441	420
205	443	417
206	445	415
207	447	413
208	449	410
209	451	408
210	453	406
211	455	404
212	457	402
213	459	399
214	461	397
215	463	394
216	465	392
217	468	390
218	470	388
219	472	386
220	474	384
221	476	382
222	478	380
223	481	378
224	483	376
225	485	374
226	487	371
227	489	369
228	492	367
229	494	365
230	496	363
231	499	361
232	501	359
233	503	356
234	505	354
235	507	352
236	509	350
237	512	348
238	514	346
239	516	344
240	518	342
241	520	339
242	522	337
243	524	335
244	527	333
245	529	331
246	531	329
247	533	326
248	535	324
249	537	322
250	539	320
251	542	318
252	544	316
253	546	313
254	548	311
255	550	309
256	552	307
257	554	305
258	557	303
259	559	301
260	561	298
261	563	296
262	565	294
263	567	292
264	569	290
265	572	288
266	574	286
267	576	283
268	578	281
269	580	279
270	582	277
271	584	274
272	586	272
273	589	270
274	591	268
275	593	266
276	595	264
277	597	262
278	599	260
279	601	257
280	603	255
281	606	253
282	608	251
283	610	249
284	612	247
285	614	244
286	616	242
287	618	240
288	620	238
289	622	236
290	624	234
291	626	231
292	628	229
293	631	227
294	633	225
295	635	223
296	637	221
297	639	218
298	641	216
299	644	214
300	646	212
301	648	210
302	650	208
303	652	206
304	654	203
305	656	201
306	658	199
307	660	197
308	662	195
309	665	193
310	667	190
311	669	188
312	671	186
313	673	184
314	675	182
315	678	180
316	680	178
317	683	176
318	685	174
319	687	171
320	690	169
321	692	167
322	694	165
323	696	163
324	698	161
325	700	158
326	702	156
327	704	154
328	706	152
329	708	150
330	710	148
331	712	146
332	715	143
333	717	141
334	719	139
335	721	137
336	723	135
337	725	133
338	728	131
339	730	128
340	732	126
341	734	124
342	736	122
343	740	120
344	742	118
345	744	116
346	746	113
347	748	111
348	750	109
349	752	107
350	754	105
351	756	103
352	758	101
353	761	98
354	763	96
355	764	94
356	767	92
357	770	90
358	772	88
359	774	86
360	776	83
361	778	81
362	781	79
363	783	77
364	786	75
365	788	73
366	790	71
367	792	68
368	794	66
369	796	64
370	799	62
371	801	60
372	803	58
373	805	55
374	807	53
375	810	51
376	812	49
377	814	47
378	817	45
379	819	43
380	821	40
381	823	38
382	825	36
383	827	34
384	829	32
385	832	30
386	834	28
387	836	25
388	838	23
389	840	21
390	842	19
391	844	17
392	846	15
393	848	12
394	850	10
395	853	8
396	855	6
397	857	4
398	859	2
399	861	0
